"Name","Family","Source","Rarity","Size","Type","Traits","Level","Spoilers?"
"<u><a href=""Monsters.aspx?ID=272"">Kobold Warrior</a></u>","<u><a href=""MonsterFamilies.aspx?ID=65"">Kobold</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Small","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>, <u><a href=""Traits.aspx?ID=224"">Kobold</a></u>","-1","—"
"<u><a href=""Monsters.aspx?ID=1202"">Kodama</a></u>","<u><a href=""MonsterFamilies.aspx?ID=243"">Kami</a></u>","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Small","<u><a href=""Traits.aspx?ID=149"">Spirit</a></u>","<u><a href=""Traits.aspx?ID=354"">Kami</a></u>, <u><a href=""Traits.aspx?ID=149"">Spirit</a></u>","5","—"
"<u><a href=""Monsters.aspx?ID=1210"">Kokogiak</a></u>","—","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Huge","<u><a href=""Traits.aspx?ID=20"">Beast</a></u>","<u><a href=""Traits.aspx?ID=20"">Beast</a></u>","12","—"
"<u><a href=""NPCs.aspx?ID=1635"">Kolbo</a></u>","—","<u><a href=""Sources.aspx?ID=97"" title=""Pathfinder #170: Spoken on the Song Wind"">Pathfinder #170</a></u>","<u><a href=""Traits.aspx?ID=161"">Unique</a></u>","Medium","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=54"">Dwarf</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","6","Pathfinder #170: Spoken on the Song Wind"
"<u><a href=""Monsters.aspx?ID=10"">Kolyarut</a></u>","<u><a href=""MonsterFamilies.aspx?ID=2"">Aeon</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=111"">Monitor</a></u>","<u><a href=""Traits.aspx?ID=208"">Aeon</a></u>, <u><a href=""Traits.aspx?ID=223"">Inevitable</a></u>, <u><a href=""Traits.aspx?ID=111"">Monitor</a></u>","12","—"
"<u><a href=""Monsters.aspx?ID=1211"">Kongamato</a></u>","—","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Large","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>","11","—"
"<u><a href=""Monsters.aspx?ID=710"">Korred</a></u>","—","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Small","<u><a href=""Traits.aspx?ID=69"">Fey</a></u>","<u><a href=""Traits.aspx?ID=69"">Fey</a></u>","4","—"
"<u><a href=""NPCs.aspx?ID=1471"">Koto Zekora</a></u>","—","<u><a href=""Sources.aspx?ID=85"" title=""Pathfinder #166: Despair on Danger Island"">Pathfinder #166</a></u>","<u><a href=""Traits.aspx?ID=161"">Unique</a></u>","Large","<u><a href=""Traits.aspx?ID=70"">Fiend</a></u>, <u><a href=""Traits.aspx?ID=79"">Giant</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=70"">Fiend</a></u>, <u><a href=""Traits.aspx?ID=79"">Giant</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>, <u><a href=""Traits.aspx?ID=303"">Oni</a></u>","17","Pathfinder #166: Despair on Danger Island"
"<u><a href=""Monsters.aspx?ID=1212"">Kovintus Geomancer</a></u>","<u><a href=""MonsterFamilies.aspx?ID=244"">Kovintus</a></u>","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>, <u><a href=""Traits.aspx?ID=355"">Kovintus</a></u>","3","—"
"<u><a href=""Monsters.aspx?ID=275"">Kraken</a></u>","—","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Gargantuan","<u><a href=""Traits.aspx?ID=20"">Beast</a></u>","<u><a href=""Traits.aspx?ID=168"">Aquatic</a></u>, <u><a href=""Traits.aspx?ID=20"">Beast</a></u>","18","—"
"<u><a href=""NPCs.aspx?ID=1566"">Kralgurn</a></u>","—","<u><a href=""Sources.aspx?ID=13"" title=""Pathfinder #148: Fires of the Haunted City"">Pathfinder #148</a></u>","<u><a href=""Traits.aspx?ID=161"">Unique</a></u>","Medium","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=53"">Duergar</a></u>, <u><a href=""Traits.aspx?ID=54"">Dwarf</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","14","Pathfinder #148: Fires of the Haunted City"
"<u><a href=""Monsters.aspx?ID=1213"">Krampus</a></u>","—","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=161"">Unique</a></u>","Large","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","21","—"
"<u><a href=""Monsters.aspx?ID=1636"">Kreekoss</a></u>","—","<u><a href=""Sources.aspx?ID=97"" title=""Pathfinder #170: Spoken on the Song Wind"">Pathfinder #170</a></u>","<u><a href=""Traits.aspx?ID=161"">Unique</a></u>","Large","<u><a href=""Traits.aspx?ID=20"">Beast</a></u>, <u><a href=""Traits.aspx?ID=70"">Fiend</a></u>","<u><a href=""Traits.aspx?ID=20"">Beast</a></u>, <u><a href=""Traits.aspx?ID=70"">Fiend</a></u>","6","Pathfinder #170: Spoken on the Song Wind"
"<u><a href=""Monsters.aspx?ID=276"">Krooth</a></u>","—","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Large","<u><a href=""Traits.aspx?ID=9"">Animal</a></u>","<u><a href=""Traits.aspx?ID=207"">Amphibious</a></u>, <u><a href=""Traits.aspx?ID=9"">Animal</a></u>","8","—"
"<u><a href=""Monsters.aspx?ID=1214"">Kuchisake-Onna</a></u>","—","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","Medium","<u><a href=""Traits.aspx?ID=1"">Aberration</a></u>","<u><a href=""Traits.aspx?ID=1"">Aberration</a></u>","14","—"
"<u><a href=""Monsters.aspx?ID=1403"">Kun</a></u>","—","<u><a href=""Sources.aspx?ID=86"" title=""Pathfinder #167: Ready? Fight!"">Pathfinder #167</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Gargantuan","<u><a href=""Traits.aspx?ID=20"">Beast</a></u>","<u><a href=""Traits.aspx?ID=168"">Aquatic</a></u>, <u><a href=""Traits.aspx?ID=20"">Beast</a></u>, <u><a href=""Traits.aspx?ID=27"">Cold</a></u>","14","—"
"<u><a href=""Monsters.aspx?ID=1024"">Kurnugian Jackal</a></u>","—","<u><a href=""Sources.aspx?ID=55"" title=""Troubles in Otari"">Troubles in Otari</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Medium","<u><a href=""Traits.aspx?ID=20"">Beast</a></u>","<u><a href=""Traits.aspx?ID=20"">Beast</a></u>","6","—"
"<u><a href=""Monsters.aspx?ID=1215"">Kurobozu</a></u>","—","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Medium","<u><a href=""Traits.aspx?ID=160"">Undead</a></u>","<u><a href=""Traits.aspx?ID=160"">Undead</a></u>","6","—"
"<u><a href=""Monsters.aspx?ID=1617"">Kurshkin</a></u>","—","<u><a href=""Sources.aspx?ID=94"" title=""Pathfinder #169: Kindled Magic"">Pathfinder #169</a></u>","<u><a href=""Traits.aspx?ID=161"">Unique</a></u>","Tiny","<u><a href=""Traits.aspx?ID=69"">Fey</a></u>","<u><a href=""Traits.aspx?ID=69"">Fey</a></u>, <u><a href=""Traits.aspx?ID=221"">Gremlin</a></u>","3","Pathfinder #169: Kindled Magic"
"<u><a href=""Monsters.aspx?ID=1216"">Kushtaka</a></u>","—","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Small","<u><a href=""Traits.aspx?ID=20"">Beast</a></u>","<u><a href=""Traits.aspx?ID=207"">Amphibious</a></u>, <u><a href=""Traits.aspx?ID=20"">Beast</a></u>","4","—"
"<u><a href=""Monsters.aspx?ID=278"">Lamia Matriarch</a></u>","<u><a href=""MonsterFamilies.aspx?ID=66"">Lamia</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Large","<u><a href=""Traits.aspx?ID=20"">Beast</a></u>","<u><a href=""Traits.aspx?ID=20"">Beast</a></u>","8","—"
"<u><a href=""Monsters.aspx?ID=277"">Lamia</a></u>","<u><a href=""MonsterFamilies.aspx?ID=66"">Lamia</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Large","<u><a href=""Traits.aspx?ID=20"">Beast</a></u>","<u><a href=""Traits.aspx?ID=20"">Beast</a></u>","6","—"
"<u><a href=""Monsters.aspx?ID=1251"">Lampad Queen</a></u>","<u><a href=""MonsterFamilies.aspx?ID=77"">Nymph</a></u>","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Medium","<u><a href=""Traits.aspx?ID=69"">Fey</a></u>","<u><a href=""Traits.aspx?ID=55"">Earth</a></u>, <u><a href=""Traits.aspx?ID=69"">Fey</a></u>, <u><a href=""Traits.aspx?ID=230"">Nymph</a></u>","15","—"
"<u><a href=""Monsters.aspx?ID=1249"">Lampad</a></u>","<u><a href=""MonsterFamilies.aspx?ID=77"">Nymph</a></u>","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=69"">Fey</a></u>","<u><a href=""Traits.aspx?ID=55"">Earth</a></u>, <u><a href=""Traits.aspx?ID=69"">Fey</a></u>, <u><a href=""Traits.aspx?ID=230"">Nymph</a></u>","6","—"
"<u><a href=""Monsters.aspx?ID=30"">Lantern Archon</a></u>","<u><a href=""MonsterFamilies.aspx?ID=9"">Archon</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Small","<u><a href=""Traits.aspx?ID=23"">Celestial</a></u>","<u><a href=""Traits.aspx?ID=13"">Archon</a></u>, <u><a href=""Traits.aspx?ID=23"">Celestial</a></u>","1","—"
"<u><a href=""NPCs.aspx?ID=1491"">Lantondo</a></u>","—","<u><a href=""Sources.aspx?ID=86"" title=""Pathfinder #167: Ready? Fight!"">Pathfinder #167</a></u>","<u><a href=""Traits.aspx?ID=161"">Unique</a></u>","Small","<u><a href=""Traits.aspx?ID=35"">Construct</a></u>","<u><a href=""Traits.aspx?ID=35"">Construct</a></u>, <u><a href=""Traits.aspx?ID=371"">Wyrwood</a></u>","15","Pathfinder #167: Ready? Fight!"
"<u><a href=""Monsters.aspx?ID=1520"">Laruhao</a></u>","—","<u><a href=""Sources.aspx?ID=87"" title=""Pathfinder #168: King of the Mountain"">Pathfinder #168</a></u>","<u><a href=""Traits.aspx?ID=161"">Unique</a></u>","Medium","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","19","Pathfinder #168: King of the Mountain"
"<u><a href=""NPCs.aspx?ID=1560"">Laslunn</a></u>","—","<u><a href=""Sources.aspx?ID=8"" title=""Pathfinder #147: Tomorrow Must Burn"">Pathfinder #147</a></u>","<u><a href=""Traits.aspx?ID=161"">Unique</a></u>","Medium","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=219"">Gnoll</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","13","Pathfinder #147: Tomorrow Must Burn"
"<u><a href=""Monsters.aspx?ID=1572"">Lazurite-Infused Stone Golem</a></u>","—","<u><a href=""Sources.aspx?ID=13"" title=""Pathfinder #148: Fires of the Haunted City"">Pathfinder #148</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","Large","<u><a href=""Traits.aspx?ID=35"">Construct</a></u>","<u><a href=""Traits.aspx?ID=35"">Construct</a></u>, <u><a href=""Traits.aspx?ID=220"">Golem</a></u>, <u><a href=""Traits.aspx?ID=108"">Mindless</a></u>","12","Pathfinder #148: Fires of the Haunted City"
"<u><a href=""Monsters.aspx?ID=279"">Leaf Leshy</a></u>","<u><a href=""MonsterFamilies.aspx?ID=67"">Leshy</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Small","<u><a href=""Traits.aspx?ID=125"">Plant</a></u>","<u><a href=""Traits.aspx?ID=225"">Leshy</a></u>, <u><a href=""Traits.aspx?ID=125"">Plant</a></u>","0","—"
"<u><a href=""Monsters.aspx?ID=1217"">Ledalusca</a></u>","—","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=57"">Elemental</a></u>","<u><a href=""Traits.aspx?ID=27"">Cold</a></u>, <u><a href=""Traits.aspx?ID=57"">Elemental</a></u>, <u><a href=""Traits.aspx?ID=165"">Water</a></u>","2","—"
"<u><a href=""Monsters.aspx?ID=32"">Legion Archon</a></u>","<u><a href=""MonsterFamilies.aspx?ID=9"">Archon</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=23"">Celestial</a></u>","<u><a href=""Traits.aspx?ID=13"">Archon</a></u>, <u><a href=""Traits.aspx?ID=23"">Celestial</a></u>","7","—"
"<u><a href=""Monsters.aspx?ID=108"">Lemure</a></u>","<u><a href=""MonsterFamilies.aspx?ID=30"">Devil</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=70"">Fiend</a></u>","<u><a href=""Traits.aspx?ID=44"">Devil</a></u>, <u><a href=""Traits.aspx?ID=70"">Fiend</a></u>, <u><a href=""Traits.aspx?ID=108"">Mindless</a></u>","0","—"
"<u><a href=""Monsters.aspx?ID=1165"">Leng Ghoul</a></u>","<u><a href=""MonsterFamilies.aspx?ID=52"">Ghoul</a></u>","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Medium","<u><a href=""Traits.aspx?ID=299"">Dream</a></u>, <u><a href=""Traits.aspx?ID=160"">Undead</a></u>","<u><a href=""Traits.aspx?ID=299"">Dream</a></u>, <u><a href=""Traits.aspx?ID=218"">Ghoul</a></u>, <u><a href=""Traits.aspx?ID=160"">Undead</a></u>","10","—"
"<u><a href=""Monsters.aspx?ID=713"">Leng Spider</a></u>","—","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Huge","<u><a href=""Traits.aspx?ID=1"">Aberration</a></u>, <u><a href=""Traits.aspx?ID=299"">Dream</a></u>","<u><a href=""Traits.aspx?ID=1"">Aberration</a></u>, <u><a href=""Traits.aspx?ID=299"">Dream</a></u>","13","—"
"<u><a href=""Monsters.aspx?ID=67"">Leopard</a></u>","<u><a href=""MonsterFamilies.aspx?ID=19"">Cat</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=9"">Animal</a></u>","<u><a href=""Traits.aspx?ID=9"">Animal</a></u>","2","—"
"<u><a href=""Monsters.aspx?ID=714"">Leprechaun</a></u>","—","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Small","<u><a href=""Traits.aspx?ID=69"">Fey</a></u>","<u><a href=""Traits.aspx?ID=69"">Fey</a></u>","2","—"
"<u><a href=""Monsters.aspx?ID=715"">Lerritan</a></u>","—","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Gargantuan","<u><a href=""Traits.aspx?ID=57"">Elemental</a></u>","<u><a href=""Traits.aspx?ID=55"">Earth</a></u>, <u><a href=""Traits.aspx?ID=57"">Elemental</a></u>, <u><a href=""Traits.aspx?ID=72"">Fire</a></u>","21","—"
"<u><a href=""Monsters.aspx?ID=251"">Lesser Death</a></u>","<u><a href=""MonsterFamilies.aspx?ID=104"">Grim Reaper</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","Medium","<u><a href=""Traits.aspx?ID=160"">Undead</a></u>","<u><a href=""Traits.aspx?ID=160"">Undead</a></u>","16","—"
"<u><a href=""Monsters.aspx?ID=1588"">Lesser Manifestation Of Dahak</a></u>","—","<u><a href=""Sources.aspx?ID=15"" title=""Pathfinder #150: Broken Promises"">Pathfinder #150</a></u>","<u><a href=""Traits.aspx?ID=161"">Unique</a></u>","Gargantuan","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>, <u><a href=""Traits.aspx?ID=72"">Fire</a></u>","22","Pathfinder #150: Broken Promises"
"<u><a href=""Monsters.aspx?ID=718"">Leucrotta</a></u>","—","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Large","<u><a href=""Traits.aspx?ID=20"">Beast</a></u>","<u><a href=""Traits.aspx?ID=20"">Beast</a></u>","5","—"
"<u><a href=""Monsters.aspx?ID=90"">Leukodaemon</a></u>","<u><a href=""MonsterFamilies.aspx?ID=26"">Daemon</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Large","<u><a href=""Traits.aspx?ID=70"">Fiend</a></u>","<u><a href=""Traits.aspx?ID=213"">Daemon</a></u>, <u><a href=""Traits.aspx?ID=70"">Fiend</a></u>","9","—"
"<u><a href=""Monsters.aspx?ID=1114"">Levaloch</a></u>","<u><a href=""MonsterFamilies.aspx?ID=30"">Devil</a></u>","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Large","<u><a href=""Traits.aspx?ID=35"">Construct</a></u>, <u><a href=""Traits.aspx?ID=70"">Fiend</a></u>","<u><a href=""Traits.aspx?ID=35"">Construct</a></u>, <u><a href=""Traits.aspx?ID=44"">Devil</a></u>, <u><a href=""Traits.aspx?ID=70"">Fiend</a></u>","7","—"
"<u><a href=""Monsters.aspx?ID=719"">Leydroth</a></u>","—","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Large","<u><a href=""Traits.aspx?ID=20"">Beast</a></u>","<u><a href=""Traits.aspx?ID=20"">Beast</a></u>","17","—"
"<u><a href=""NPCs.aspx?ID=947"">Librarian</a></u>","<u><a href=""MonsterFamilies.aspx?ID=195"">Scholars</a></u>","<u><a href=""Sources.aspx?ID=22"" title=""Gamemastery Guide"">Gamemastery Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=90"">Human</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","-1","—"
"<u><a href=""Monsters.aspx?ID=282"">Lich</a></u>","<u><a href=""MonsterFamilies.aspx?ID=68"">Lich</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","Medium","<u><a href=""Traits.aspx?ID=160"">Undead</a></u>","<u><a href=""Traits.aspx?ID=160"">Undead</a></u>","12","—"
"<u><a href=""Monsters.aspx?ID=1236"">Lifeleecher Brawler</a></u>","<u><a href=""MonsterFamilies.aspx?ID=248"">Mortic</a></u>","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","Medium","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>, <u><a href=""Traits.aspx?ID=357"">Mortic</a></u>, <u><a href=""Traits.aspx?ID=124"">Orc</a></u>","8","—"
"<u><a href=""Monsters.aspx?ID=36"">Lillend</a></u>","<u><a href=""MonsterFamilies.aspx?ID=10"">Azata</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Large","<u><a href=""Traits.aspx?ID=23"">Celestial</a></u>","<u><a href=""Traits.aspx?ID=17"">Azata</a></u>, <u><a href=""Traits.aspx?ID=23"">Celestial</a></u>","7","—"
"<u><a href=""Monsters.aspx?ID=513"">Lion Visitant</a></u>","<u><a href=""MonsterFamilies.aspx?ID=119"">Visitant</a></u>","<u><a href=""Sources.aspx?ID=23"" title=""Pathfinder #152: Legacy of the Lost God"">Pathfinder #152</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Large","<u><a href=""Traits.aspx?ID=9"">Animal</a></u>, <u><a href=""Traits.aspx?ID=160"">Undead</a></u>","<u><a href=""Traits.aspx?ID=9"">Animal</a></u>, <u><a href=""Traits.aspx?ID=160"">Undead</a></u>","5","—"
"<u><a href=""Monsters.aspx?ID=68"">Lion</a></u>","<u><a href=""MonsterFamilies.aspx?ID=19"">Cat</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Large","<u><a href=""Traits.aspx?ID=9"">Animal</a></u>","<u><a href=""Traits.aspx?ID=9"">Animal</a></u>","3","—"
"<u><a href=""NPCs.aspx?ID=1042"">Lisavet</a></u>","—","<u><a href=""Sources.aspx?ID=72"" title=""No-Prep Character: Lisavet"">No-Prep Character</a></u>","<u><a href=""Traits.aspx?ID=161"">Unique</a></u>","Medium","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=90"">Human</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","2","—"
"<u><a href=""Monsters.aspx?ID=650"">Living Boulder</a></u>","<u><a href=""MonsterFamilies.aspx?ID=42"">Elemental, Earth</a></u>","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Small","<u><a href=""Traits.aspx?ID=57"">Elemental</a></u>","<u><a href=""Traits.aspx?ID=55"">Earth</a></u>, <u><a href=""Traits.aspx?ID=57"">Elemental</a></u>","2","—"
"<u><a href=""Monsters.aspx?ID=183"">Living Landslide</a></u>","<u><a href=""MonsterFamilies.aspx?ID=42"">Elemental, Earth</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=57"">Elemental</a></u>","<u><a href=""Traits.aspx?ID=55"">Earth</a></u>, <u><a href=""Traits.aspx?ID=57"">Elemental</a></u>","5","—"
"<u><a href=""Monsters.aspx?ID=451"">Living Sap</a></u>","—","<u><a href=""Sources.aspx?ID=7"" title=""Pathfinder #146: Cult of Cinders"">Pathfinder #146</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Medium","<u><a href=""Traits.aspx?ID=122"">Ooze</a></u>","<u><a href=""Traits.aspx?ID=108"">Mindless</a></u>, <u><a href=""Traits.aspx?ID=122"">Ooze</a></u>","6","—"
"<u><a href=""Monsters.aspx?ID=647"">Living Thunderclap</a></u>","<u><a href=""MonsterFamilies.aspx?ID=41"">Elemental, Air</a></u>","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=57"">Elemental</a></u>","<u><a href=""Traits.aspx?ID=5"">Air</a></u>, <u><a href=""Traits.aspx?ID=57"">Elemental</a></u>","4","—"
"<u><a href=""Monsters.aspx?ID=197"">Living Waterfall</a></u>","<u><a href=""MonsterFamilies.aspx?ID=45"">Elemental, Water</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Large","<u><a href=""Traits.aspx?ID=57"">Elemental</a></u>","<u><a href=""Traits.aspx?ID=168"">Aquatic</a></u>, <u><a href=""Traits.aspx?ID=57"">Elemental</a></u>, <u><a href=""Traits.aspx?ID=165"">Water</a></u>","5","—"
"<u><a href=""Monsters.aspx?ID=178"">Living Whirlwind</a></u>","<u><a href=""MonsterFamilies.aspx?ID=41"">Elemental, Air</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=57"">Elemental</a></u>","<u><a href=""Traits.aspx?ID=5"">Air</a></u>, <u><a href=""Traits.aspx?ID=57"">Elemental</a></u>","5","—"
"<u><a href=""Monsters.aspx?ID=188"">Living Wildfire</a></u>","<u><a href=""MonsterFamilies.aspx?ID=43"">Elemental, Fire</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=57"">Elemental</a></u>","<u><a href=""Traits.aspx?ID=57"">Elemental</a></u>, <u><a href=""Traits.aspx?ID=72"">Fire</a></u>","5","—"
